fold,epoch,loss,page_loss,f1_clean,f1_corrupt,page_acc,nonpage_acc_corrupt,train_s,imgs_per_s,lr_top
3,1,1.3035978719533352,1.5253878010643853,0.9546590988263521,0.9444378416357812,0.7659574468085106,0.958981612446959,44,69,4e-05
3,2,0.5334704913071672,0.6804974622196621,0.9771141515099487,0.9644074834472939,0.7872340425531915,0.9801980198019802,44,69,3.919796087756705e-05
3,3,0.5136897147250081,0.5374986065758599,0.9792280888108632,0.968647791735439,0.7872340425531915,0.9844413012729845,44,68,3.685681995005739e-05
3,4,0.49233811890092066,0.5394915911886428,0.9838992174984232,0.973419787135281,0.7872340425531915,0.9886845827439887,44,69,3.316624253211665e-05
3,5,0.4853598894490206,0.4857978555891249,0.9822173497833175,0.9708373102928419,0.7872340425531915,0.9872701555869873,44,70,2.8425217257437355e-05
3,6,0.4828606440970838,0.4615906708770328,0.982103926340401,0.9710294001951756,0.8085106382978723,0.9858557284299858,44,69,2.3017833797811048e-05
3,7,0.48118109082737043,0.4464631133609348,0.9818628714224404,0.9740268007646812,0.8297872340425532,0.9872701555869873,44,69,1.7382166202188958e-05
3,8,0.47860951382916483,0.46405647065904404,0.9805914686490017,0.9761649690453515,0.8085106382978723,0.9900990099009901,44,69,1.1974782742562651e-05
3,9,0.47183748778156476,0.4522524158159892,0.9849397999853257,0.9793105316661054,0.8297872340425532,0.9915134370579916,44,70,7.233757467883358e-06
3,10,0.47886903147346555,0.44685727953910825,0.9864665783945604,0.9766581354950654,0.8297872340425532,0.9886845827439887,44,69,3.54318004994261e-06
3,11,0.48042026185644754,0.432541862461302,0.9807165264296175,0.97372250326066,0.7872340425531915,0.9886845827439887,44,69,1.2020391224329545e-06
3,12,0.4740205627624998,0.44821573429637485,0.9822173497833175,0.9752250701923789,0.8085106382978723,0.9886845827439887,44,69,4.0000000000000003e-07
