image_id,label,fold,ctype,pred_clean,pred_testlike,v2_clean,v2_corrupt,v2_ok,v3_ok,sib_same,sib_diff,margin,gain,margin_bin
Pr22tEu7.jpg,pegon,0,page,bali,bali,bali,bali,False,False,0.64472663,0.96984917,-0.32512254,0,"(-1.0, 0.0]"
DZlkHVVs.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True,0.8279953,0.85170764,-0.023712337,0,"(-1.0, 0.0]"
mU0VIMOM.jpg,jawi,0,page,pegon,pegon,jawi,jawi,True,False,0.7174721,0.66344315,0.05402893,-1,"(0.05, 0.1]"
pugriEKg.jpg,pegon,0,page,jawi,jawi,pegon,jawi,True,False,0.69916844,0.70490354,-0.0057350993,-1,"(-1.0, 0.0]"
C5R3SyGp.png,jawi,0,page,jawi,jawi,jawi,jawi,True,True,0.3628407,0.46665895,-0.10381824,0,"(-1.0, 0.0]"
lyRKrF1d.jpg,jawi,0,page,jawi,jawi,pegon,lampung,False,True,0.72266734,0.7346827,-0.012015343,1,"(-1.0, 0.0]"
LbdIIDPH.png,bali,0,page,bali,bali,bali,bali,True,True,0.72768766,0.74848175,-0.020794094,0,"(-1.0, 0.0]"
Ifcb2r4C.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True,0.74428594,0.7439358,0.00035011768,0,"(0.0, 0.05]"
p1nlqTvi.jpg,jawi,0,page,jawi,jawi,jawi,jawi,True,True,0.8186811,0.7849031,0.03377801,0,"(0.0, 0.05]"
A86cbI0P.png,sunda,0,page,sunda,sunda,sunda,pegon,True,True,0.71012545,0.7355863,-0.02546084,0,"(-1.0, 0.0]"
Pn2o0YTT.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True,0.8452934,0.8069191,0.038374305,0,"(0.0, 0.05]"
mX6JeAay.jpg,lontara,0,page,lontara,lontara,lontara,lontara,True,True,0.70360464,0.910578,-0.20697337,0,"(-1.0, 0.0]"
QNEvz4dm.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True,0.82069826,0.78540516,0.035293102,0,"(0.0, 0.05]"
POApg2ai.png,sunda,0,page,jawa,jawa,jawa,pegon,False,False,0.6819906,0.73513556,-0.05314493,0,"(-1.0, 0.0]"
zOMPhDUE.jpg,lampung,0,page,lampung,lampung,lampung,jawi,True,True,0.75162446,0.7750354,-0.023410916,0,"(-1.0, 0.0]"
FSeTEL4D.jpg,sunda,0,page,pegon,pegon,jawa,pegon,False,False,0.62987936,0.69793725,-0.068057895,0,"(-1.0, 0.0]"
k2KtRniI.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True,0.8336271,0.8151171,0.018509984,0,"(0.0, 0.05]"
sgJcQYI6.jpg,lontara,0,page,lontara,lontara,lontara,lontara,True,True,0.64978033,0.7462349,-0.09645456,0,"(-1.0, 0.0]"
cLcF0nUi.png,lampung,0,page,lampung,lampung,lampung,lampung,True,True,0.8457684,0.8588853,-0.013116896,0,"(-1.0, 0.0]"
