image_id,label,fold,ctype,pred_clean,pred_testlike,v2_clean,v2_corrupt,v2_ok,v3_ok
Pr22tEu7.jpg,pegon,0,page,bali,bali,bali,bali,False,False
DZlkHVVs.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True
mU0VIMOM.jpg,jawi,0,page,pegon,pegon,jawi,jawi,True,False
pugriEKg.jpg,pegon,0,page,jawi,jawi,pegon,jawi,True,False
C5R3SyGp.png,jawi,0,page,jawi,jawi,jawi,jawi,True,True
lyRKrF1d.jpg,jawi,0,page,jawi,jawi,pegon,lampung,False,True
LbdIIDPH.png,bali,0,page,bali,bali,bali,bali,True,True
Ifcb2r4C.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
p1nlqTvi.jpg,jawi,0,page,jawi,jawi,jawi,jawi,True,True
A86cbI0P.png,sunda,0,page,sunda,sunda,sunda,pegon,True,True
Pn2o0YTT.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
mX6JeAay.jpg,lontara,0,page,lontara,lontara,lontara,lontara,True,True
QNEvz4dm.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True
POApg2ai.png,sunda,0,page,jawa,jawa,jawa,pegon,False,False
zOMPhDUE.jpg,lampung,0,page,lampung,lampung,lampung,jawi,True,True
FSeTEL4D.jpg,sunda,0,page,pegon,pegon,jawa,pegon,False,False
k2KtRniI.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True
sgJcQYI6.jpg,lontara,0,page,lontara,lontara,lontara,lontara,True,True
cLcF0nUi.png,lampung,0,page,lampung,lampung,lampung,lampung,True,True
kdPAng3j.jpg,lampung,0,page,lampung,lampung,lampung,lampung,True,True
NZrTPBsT.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
qyPXddz2.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True
kne37dqn.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
Zm78KvRV.jpg,pegon,0,page,pegon,pegon,pegon,pegon,True,True
9N5DsZPR.jpg,lampung,0,page,lampung,lampung,lampung,lampung,True,True
Bz01Prso.jpg,jawi,0,page,jawi,jawi,jawi,jawi,True,True
P7pWofbr.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
Upp8Rm0A.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
p1KvJOpI.jpg,jawa,0,page,jawa,jawa,jawa,jawa,True,True
zserujX8.jpg,bali,1,page,bali,bali,bali,bali,True,True
AlMtohM9.jpg,jawi,1,page,jawi,jawi,jawi,jawi,True,True
3uZ754oe.jpg,jawa,1,page,jawa,jawa,jawa,jawa,True,True
9QkzJWYC.png,bali,1,page,bali,bali,bali,bali,True,True
H8tMgkXB.png,bali,1,page,bali,bali,bali,bali,True,True
mS2kZ8fi.jpg,bali,1,page,bali,bali,bali,bali,True,True
J5rUUjOm.jpg,lontara,1,page,lontara,lontara,lontara,lontara,True,True
BH0R4c3B.jpg,bali,1,page,bali,bali,bali,bali,True,True
1zxp9geQ.jpg,jawa,1,page,jawa,jawa,jawa,jawa,True,True
nGhp8rvR.jpg,lontara,1,page,lontara,lontara,lontara,lontara,True,True
cM7aMsIP.jpg,jawa,1,page,jawa,jawa,jawa,jawa,True,True
tviyv7W0.jpg,lampung,1,page,lampung,lampung,lampung,lampung,True,True
KQn86KbN.jpg,bali,1,page,lampung,lampung,jawa,bali,False,False
wBLg71Yy.png,lontara,1,page,pegon,pegon,lontara,lontara,True,False
fuuZiyNB.jpg,lontara,1,page,lontara,lontara,lontara,lontara,True,True
Ymh2tbFw.png,bali,1,page,bali,bali,bali,bali,True,True
WWCrZrGd.jpg,bali,1,page,jawa,jawa,jawa,jawa,False,False
