image_id,ctype,v1,v2,v3,pattern
WEajVawh.png,glyph,2,6,6,all differ
qA1ZrD98.png,line,3,3,3,v1=v2 (v3 alone)
G4lDbpor.png,line,2,2,2,v1=v2 (v3 alone)
fDI0VO86.png,line,2,2,2,v1=v2 (v3 alone)
J9SshuHf.png,line,1,0,0,all differ
aZwZsKoj.png,line,3,3,3,v1=v2 (v3 alone)
5sibrN1x.png,line,1,1,1,v1=v2 (v3 alone)
OQTuij3P.png,block,5,5,5,v1=v2 (v3 alone)
ItQogqk5.jpg,page,0,0,0,v1=v2 (v3 alone)
ZqydnzgJ.png,page,5,5,5,v1=v2 (v3 alone)
PVjGocDm.png,line,4,4,4,v1=v2 (v3 alone)
VJtZBYhT.png,line,5,5,5,v1=v2 (v3 alone)
0CSBXH8E.png,block,1,1,1,v1=v2 (v3 alone)
Qs5gOQRU.png,line,5,5,5,v1=v2 (v3 alone)
3pEwqbyv.png,block,0,0,0,v1=v2 (v3 alone)
LYSJlPHg.jpg,page,3,3,3,v1=v2 (v3 alone)
RuN8j9dn.png,line,3,3,3,v1=v2 (v3 alone)
r0elQ0IA.jpg,page,2,2,2,v1=v2 (v3 alone)
2vGITeza.png,line,3,3,3,v1=v2 (v3 alone)
8cP0TG9G.png,line,6,6,6,v1=v2 (v3 alone)
j6anMMkb.png,line,3,3,3,v1=v2 (v3 alone)
KTQSUrrc.jpg,page,2,2,2,v1=v2 (v3 alone)
m5VeP6bO.png,line,2,2,2,v1=v2 (v3 alone)
SnCZ4PQw.png,block,5,5,5,v1=v2 (v3 alone)
wBQ3yw10.png,line,2,2,2,v1=v2 (v3 alone)
AdpKUfiD.png,line,0,0,0,v1=v2 (v3 alone)
KEu2kTL0.jpg,page,0,0,0,v1=v2 (v3 alone)
vDh3sqrP.png,line,6,6,6,v1=v2 (v3 alone)
vlFWLeRt.jpg,page,2,2,2,v1=v2 (v3 alone)
i3o0uiBI.png,block,5,5,5,v1=v2 (v3 alone)
GzY7jkaJ.png,line,6,6,6,v1=v2 (v3 alone)
G3QE12Wa.png,line,3,4,3,v1=v3 (v2 alone)
OejnTLcZ.png,page,5,5,5,v1=v2 (v3 alone)
XSED2XWK.jpg,page,1,1,1,v1=v2 (v3 alone)
inXsqhEY.png,block,6,6,6,v1=v2 (v3 alone)
ndpkiGAu.jpg,page,6,1,1,all differ
bJbum0jm.png,line,0,0,0,v1=v2 (v3 alone)
vhJKwyt6.png,line,3,3,3,v1=v2 (v3 alone)
HC8195r5.jpg,page,2,1,1,all differ
FsRveb1q.png,block,5,5,5,v1=v2 (v3 alone)
I9EOqAYR.png,line,6,6,6,v1=v2 (v3 alone)
1ylSINFk.png,line,1,1,1,v1=v2 (v3 alone)
os7DW2YN.png,line,6,6,6,v1=v2 (v3 alone)
lYmPrQa7.png,block,5,5,5,v1=v2 (v3 alone)
DouTwCmZ.jpg,page,3,3,3,v1=v2 (v3 alone)
JM5Rlwfw.png,block,5,5,5,v1=v2 (v3 alone)
4ONNN3sr.png,line,2,2,2,v1=v2 (v3 alone)
26WUdDnL.jpg,page,1,1,1,v1=v2 (v3 alone)
sXLZOJSp.jpg,block,3,3,3,v1=v2 (v3 alone)
TdLGEb6y.png,line,4,4,4,v1=v2 (v3 alone)
eJBz6Ijo.png,line,4,4,4,v1=v2 (v3 alone)
QfVxUOA8.png,line,6,6,6,v1=v2 (v3 alone)
xKDQ2khc.png,glyph,2,2,2,v1=v2 (v3 alone)
J0DSglN2.png,line,2,2,2,v1=v2 (v3 alone)
S9OQQwUs.png,block,5,5,5,v1=v2 (v3 alone)
Y3FTOh22.png,line,3,3,3,v1=v2 (v3 alone)
U8zdIIUJ.png,line,2,2,2,v1=v2 (v3 alone)
