fold,epoch,loss,f1_clean,f1_testlike,f1_testlike_reweighted,page_acc,line_acc,train_s,imgs_per_s
0,1,1.3688102221869407,0.9650991323471868,0.9504041677937781,0.914766603528269,0.7241379310344828,0.9746835443037974,32,93
0,2,0.5807650222423228,0.9717991506577255,0.9618383024671358,0.9339089908987839,0.7586206896551724,0.9819168173598554,31,97
0,3,0.5801393560906674,0.9702996148713469,0.9617381890808965,0.9340317462063936,0.7586206896551724,0.9801084990958409,33,92
0,4,0.5441670520825589,0.9757553993250687,0.9657920600281374,0.9321680816919935,0.7586206896551724,0.9819168173598554,33,92
0,5,0.5381856858730316,0.9769947725132361,0.970195554623439,0.9414207153587858,0.7586206896551724,0.9873417721518988,34,89
0,6,0.5299823808860271,0.9814215005343925,0.9715037997724277,0.9428338308827765,0.7586206896551724,0.9873417721518988,33,90
0,7,0.5297676175832748,0.9824664989501181,0.9743409304793522,0.9482612622437185,0.7931034482758621,0.9873417721518988,32,93
0,8,0.5328165668439357,0.981649465584968,0.9719047391662864,0.9504692229424831,0.8275862068965517,0.9855334538878843,33,92
0,9,0.5238949971947264,0.9827687233817473,0.9794131557618658,0.9527210981671427,0.7931034482758621,0.9927667269439421,33,90
0,10,0.5286471555207638,0.983582492530643,0.980230772819931,0.9565050345033541,0.8275862068965517,0.9891500904159132,33,91
0,11,0.5413098869488594,0.9839613458110271,0.9797277877653835,0.957264015786324,0.8275862068965517,0.9909584086799277,33,91
0,12,0.5294281629488823,0.9833678058451157,0.9767185864996982,0.9540399279668774,0.8275862068965517,0.9873417721518988,33,92
0,13,0.5329141356843583,0.9821932478154204,0.9762129188286167,0.9505983069411393,0.7931034482758621,0.9909584086799277,33,91
0,14,0.5423867602614646,0.9827687233817473,0.9757658639121622,0.9501731433838747,0.7931034482758621,0.9891500904159132,33,90
0,15,0.5494195252973982,0.9827687233817473,0.9757658639121622,0.9501731433838747,0.7931034482758621,0.9891500904159132,33,92
