fold,epoch,loss,page_loss,f1_clean,f1_corrupt,page_acc,nonpage_acc_corrupt,train_s,imgs_per_s,lr_top
2,1,1.3038338240649965,1.3522792932662098,0.9754681117742766,0.9669679778556345,0.8823529411764706,0.970873786407767,44,70,4e-05
2,2,0.5419928885247342,0.6511952084573832,0.9788408263774672,0.9757962996969152,0.8235294117647058,0.9833564493758669,43,70,3.919796087756705e-05
2,3,0.501517506306449,0.6304203129627488,0.9769057450729831,0.9777614602192333,0.8823529411764706,0.9833564493758669,43,70,3.685681995005739e-05
2,4,0.4904448211429611,0.5118041058832948,0.9852015359325763,0.9860112631851985,0.8823529411764706,0.9916782246879334,44,70,3.316624253211665e-05
2,5,0.48228683953405055,0.49864181808450003,0.9842075470349066,0.9864089709297081,0.8529411764705882,0.9930651872399445,44,69,2.8425217257437355e-05
2,6,0.48767222673016253,0.5052757689898665,0.983626865712108,0.981451988348447,0.8529411764705882,0.9889042995839112,44,69,2.3017833797811048e-05
2,7,0.47775036711541435,0.46447090669111774,0.9872261932342987,0.9834228107158711,0.8529411764705882,0.9902912621359223,44,69,1.7382166202188958e-05
2,8,0.47566003285387837,0.47603619369593536,0.9912069452218008,0.9874150243308427,0.9411764705882353,0.9902912621359223,44,69,1.1974782742562651e-05
2,9,0.4764698465901708,0.4494393000548536,0.9886579293444926,0.9868746110981138,0.8823529411764706,0.9916782246879334,44,69,7.233757467883358e-06
2,10,0.484173501491862,0.4421681714328853,0.9876548566991161,0.9868641271343132,0.8823529411764706,0.9916782246879334,44,69,3.54318004994261e-06
2,11,0.47811501370693643,0.4486283693801273,0.9884054475700383,0.9906368371121422,0.9117647058823529,0.9944521497919556,44,69,1.2020391224329545e-06
2,12,0.47153587856147655,0.439835595136339,0.9900356851884516,0.9906368371121422,0.9117647058823529,0.9944521497919556,44,69,4.0000000000000003e-07
