fold,epoch,loss,page_loss,f1_clean,f1_corrupt,page_acc,nonpage_acc_corrupt,train_s,imgs_per_s,lr_top
4,1,1.2948349875511316,1.4795532043684612,0.9502795994977292,0.9457168214393984,0.75,0.9623955431754875,44,69,4e-05
4,2,0.527925098856921,0.6615447429093447,0.964492377808811,0.9591385893361765,0.8611111111111112,0.9693593314763231,44,68,3.919796087756705e-05
4,3,0.5036074877100647,0.5739707892591303,0.9691664758058904,0.9640566265309796,0.7777777777777778,0.9777158774373259,44,69,3.685681995005739e-05
4,4,0.48972111337241675,0.5782434798099778,0.9707612435936482,0.967614685838184,0.8055555555555556,0.9805013927576601,44,69,3.316624253211665e-05
4,5,0.4848761686256954,0.5225001844492826,0.9784010189579281,0.9737811955302937,0.8333333333333334,0.9846796657381616,43,70,2.8425217257437355e-05
4,6,0.4774155769319761,0.4602678303014148,0.9734574735117016,0.9717089742613104,0.8611111111111112,0.9805013927576601,44,69,2.3017833797811048e-05
4,7,0.4726891972952419,0.4491362131454728,0.9739916392683237,0.9710759967910653,0.7777777777777778,0.9846796657381616,44,69,1.7382166202188958e-05
4,8,0.47740929502816426,0.46242028000679886,0.9805873153499116,0.9713725741868302,0.8333333333333334,0.9818941504178273,44,69,1.1974782742562651e-05
4,9,0.47925817418508426,0.452319666065953,0.9788731554880025,0.9751921104999669,0.8055555555555556,0.9874651810584958,43,70,7.233757467883358e-06
4,10,0.47418148795921333,0.4405411244793372,0.9788731554880025,0.972047607655884,0.8055555555555556,0.9846796657381616,44,69,3.54318004994261e-06
4,11,0.4785863197748623,0.4436508857391097,0.9788731554880025,0.9751921104999669,0.8055555555555556,0.9874651810584958,43,70,1.2020391224329545e-06
4,12,0.4712118091722014,0.44289199872450397,0.9788731554880025,0.9751921104999669,0.8055555555555556,0.9874651810584958,44,69,4.0000000000000003e-07
