image_id,silver_label,sim,train_twin,v1,v2,v3
qA1ZrD98.png,lampung,0.861624,xRVYH2Wt.png,lampung,lampung,lampung
G4lDbpor.png,jawi,0.9374988,pXiAetoy.png,jawi,jawi,jawi
m5VeP6bO.png,jawi,0.915341,0HGBgMZi.png,jawi,jawi,jawi
vDh3sqrP.png,sunda,0.8732388,1u2I4e7K.png,sunda,sunda,sunda
inXsqhEY.png,sunda,0.90122163,S2FxkwQy.png,sunda,sunda,sunda
FsRveb1q.png,pegon,0.9277303,QFDYs1zj.png,pegon,pegon,pegon
lYmPrQa7.png,pegon,0.92959046,F2izSnYq.png,pegon,pegon,pegon
S9OQQwUs.png,pegon,0.9163308,4da6zWMs.png,pegon,pegon,pegon
7WFSRZdK.png,sunda,0.93420684,7i8PG9Ub.png,sunda,sunda,sunda
SkISLMsf.png,sunda,0.8907943,KqoNgEEr.png,sunda,sunda,sunda
1ZVk0eST.png,lampung,0.87887275,YG6yAvc0.png,lampung,lampung,lampung
fWSSeXCX.webp,pegon,0.85841167,XhzyZXBX.jpg,pegon,pegon,pegon
fkJRTTfO.png,pegon,0.9653076,Btbg3dEE.png,pegon,pegon,pegon
OZQEsgPy.png,lampung,0.8563286,rbX8udzi.png,lampung,lampung,lampung
lUuephPg.jpg,lampung,0.90739036,1aIVpZ2l.jpg,jawa,lontara,jawa
vE1lC5ua.jpg,pegon,0.87401104,VvWr2DRJ.jpg,jawi,jawi,jawi
AvWpUyyu.png,pegon,0.8917122,yKdVboEu.png,pegon,pegon,pegon
GtqK3cHR.jpg,jawa,0.9484819,Jm77pTKe.jpg,jawa,jawa,jawa
C6hR7VXO.png,lontara,0.90709305,xkUMcjKo.png,lontara,lontara,lontara
LvoCIxWk.png,sunda,0.9012292,8cEuXyGr.png,sunda,sunda,sunda
1RE1VcHj.jpg,sunda,0.8578821,FSeTEL4D.jpg,jawa,sunda,pegon
H036HViM.jpg,sunda,0.8689369,A86cbI0P.png,sunda,sunda,sunda
G53WDmJS.png,jawa,0.89376414,tl3IX4js.png,jawa,jawa,jawa
4sMBUagD.png,jawa,0.87472963,a2qh7aww.png,jawa,jawa,jawa
ipYw1jbF.jpg,pegon,0.9999999,zasgaCVk.jpg,pegon,pegon,pegon
emcWShUR.png,jawa,0.870399,1rPuWUQc.png,jawa,jawa,jawa
ZjFyliaI.png,jawi,0.96450055,HaUlrvvF.png,jawi,jawi,jawi
24T5SZRZ.png,jawa,0.9168176,3SpdonBg.png,jawa,jawa,jawa
P8cAscCZ.png,lampung,0.87489116,gWgjb1jF.png,lampung,lampung,lampung
uneupKp4.jpg,pegon,0.85587376,3OW9abKi.webp,pegon,pegon,pegon
RQ3dXMka.png,sunda,0.92647994,cSRKI1Eo.png,sunda,sunda,sunda
gCeXTM6f.png,jawi,0.8849581,o7wasDKU.jpg,jawi,jawi,jawi
RCAhhZd5.png,lontara,0.9126348,FPuPjmRC.png,lontara,lontara,lontara
YwAccQRI.jpg,lampung,0.85297257,QMe5Qa85.jpg,lampung,lampung,lampung
