image_id,label,split,w,h,fmt,ctype,pred_c,pred_x,conf_x,pred,conf,agree,glyph_h,n_views
zserujX8.jpg,bali,train,1280,720,JPEG,page,0.0,0.0,0.5728909256668322,,,,20.0,13
Pr22tEu7.jpg,pegon,train,600,400,JPEG,page,0.0,0.0,0.5787474205202349,,,,12.0,13
AlMtohM9.jpg,jawi,train,1088,1316,JPEG,page,2.0,2.0,0.5872877046122829,,,,8.0,13
jxh6yxyy.jpg,lontara,train,568,621,JPEG,page,4.0,4.0,0.9189677123810148,,,,14.0,13
lp1In676.jpg,lampung,train,1000,370,JPEG,page,3.0,3.0,0.930329830328908,,,,9.0,13
A3amnqqs.jpg,lampung,train,480,360,JPEG,page,3.0,3.0,0.9071473661863436,,,,16.0,13
DZlkHVVs.jpg,pegon,train,878,460,JPEG,page,5.0,5.0,0.7083532496835191,,,,10.0,13
mU0VIMOM.jpg,jawi,train,750,469,JPEG,page,2.0,2.0,0.715637414481826,,,,12.5,13
ArLIuehv.png,pegon,train,1521,750,PNG,page,2.0,5.0,0.5017935963044613,,,,,1
3uZ754oe.jpg,jawa,train,1000,614,JPEG,page,1.0,1.0,0.8919118175377112,,,,21.0,13
r3tGNzm6.jpg,jawa,train,2834,1223,JPEG,page,1.0,1.0,0.4427429653869843,,,,8.0,13
pugriEKg.jpg,pegon,train,768,768,JPEG,page,5.0,2.0,0.7526655241588147,,,,34.5,8
VA317cEJ.jpg,pegon,train,677,453,JPEG,page,5.0,5.0,0.886845634126755,,,,12.0,13
VvWr2DRJ.jpg,pegon,train,1280,720,JPEG,page,2.0,2.0,0.8230322092120732,,,,26.0,13
VObY0cqk.jpg,pegon,train,1967,1724,JPEG,page,5.0,5.0,0.8740644868453192,,,,16.0,13
9QkzJWYC.png,bali,train,864,864,PNG,page,0.0,0.0,0.9310591583386844,,,,,1
isCRUjsC.jpg,pegon,train,1280,734,JPEG,page,2.0,2.0,0.56307146168658,,,,13.0,13
rEohqrKO.webp,jawa,train,720,447,WEBP,page,1.0,1.0,0.8937263594781548,,,,7.0,13
C5R3SyGp.png,jawi,train,49,266,PNG,page,2.0,2.0,0.8371286136531578,,,,39.0,1
H8tMgkXB.png,bali,train,700,663,PNG,page,0.0,0.0,0.9275518436567664,,,,32.0,12
JkcwfeWb.jpg,pegon,train,300,445,JPEG,page,5.0,2.0,0.2989666503383861,,,,9.0,13
Sq4mQMmX.webp,lampung,train,500,281,WEBP,page,3.0,3.0,0.7539636843454207,,,,8.0,13
lyRKrF1d.jpg,jawi,train,1200,1690,JPEG,page,5.0,3.0,0.2938175192131096,,,,29.0,13
18Yut8y2.jpg,sunda,train,712,712,JPEG,page,6.0,1.0,0.8423946689886829,,,,30.0,12
mS2kZ8fi.jpg,bali,train,668,375,JPEG,page,0.0,0.0,0.930412261109006,,,,8.0,13
J5rUUjOm.jpg,lontara,train,2764,1849,JPEG,page,4.0,4.0,0.9319629048656236,,,,52.5,13
LbdIIDPH.png,bali,train,1200,700,PNG,page,0.0,0.0,0.9337503223312392,,,,43.0,13
vIX9hIjR.jpg,pegon,train,640,462,JPEG,page,5.0,5.0,0.9291068632978192,,,,12.5,13
4cQJzJ58.jpg,pegon,train,1500,1225,JPEG,page,5.0,5.0,0.9244024627500756,,,,8.0,13
Ifcb2r4C.jpg,jawa,train,1200,800,JPEG,page,1.0,1.0,0.8644680347352679,,,,17.0,13
cSqToiMa.jpg,bali,train,640,589,JPEG,page,0.0,1.0,0.7891453179254851,,,,6.0,13
ZTjt1UNI.jpg,bali,train,393,577,JPEG,page,3.0,0.0,0.6278367591534569,,,,9.0,13
a4jh7wTT.jpg,jawa,train,700,441,JPEG,page,1.0,1.0,0.8993586163173262,,,,13.0,13
