fold,epoch,loss,f1_clean,f1_corrupt,train_s,imgs_per_s,lr_top
3,1,1.3466838769456173,0.9638126698671206,0.949225569836465,25,119,4e-05
3,2,0.5566324759671029,0.9675425149498794,0.9607133904743294,25,120,3.921482167590975e-05
3,3,0.5240956007483157,0.9811406514557038,0.9690961915272543,26,117,3.6889266974052585e-05
3,4,0.5184327324337148,0.9755924726797236,0.9661969496193847,25,119,3.321164711685013e-05
3,5,0.504888561494807,0.9815523045719295,0.9661476380202323,25,118,2.8479900993485484e-05
3,6,0.499038538875732,0.9806119808167192,0.9670390008347031,25,118,2.3077366534095904e-05
3,7,0.49421747964113316,0.9806576241550818,0.9728443858999087,25,119,1.7441724950471555e-05
3,8,0.4856666859160078,0.9790490606313639,0.9714098501335757,26,117,1.2029542407266648e-05
3,9,0.4774984500192581,0.979258204555841,0.9718718508609954,25,119,7.279281746642699e-06
3,10,0.48952574916976566,0.979258204555841,0.9718718508609954,25,119,3.57578083643554e-06
3,11,0.48107782814730987,0.9821030968574244,0.9733714157092683,26,118,1.2190752948221385e-06
3,12,0.4953937831711262,0.9837310740240349,0.9733063866273284,25,119,4.00091388916497e-07
