fold,epoch,loss,f1_clean,f1_corrupt,train_s,imgs_per_s,lr_top
2,1,1.3501144723689302,0.9646430025190486,0.9481909638553103,25,120,4e-05
2,2,0.5758621981169315,0.9643113256112322,0.9621890876767164,25,119,3.921482167590975e-05
2,3,0.5297403901498369,0.9785993830016523,0.9695885742583105,25,118,3.6889266974052585e-05
2,4,0.5130088866708127,0.9752984705754607,0.970041843467192,25,119,3.321164711685013e-05
2,5,0.49977259607391156,0.9807718918168291,0.968200430973211,25,119,2.8479900993485484e-05
2,6,0.4937441458410405,0.9813411514263937,0.9754267546180245,25,118,2.3077366534095904e-05
2,7,0.49047732971450114,0.9811170475650582,0.9691471358444416,25,119,1.7441724950471555e-05
2,8,0.4862672177718041,0.9821863263701015,0.9755005519711476,25,119,1.2029542407266648e-05
2,9,0.4791381595299599,0.9834208968876181,0.9750737859590671,25,119,7.279281746642699e-06
2,10,0.49131207501000546,0.9845455611645654,0.9716315482620242,26,118,3.57578083643554e-06
2,11,0.4869951528120548,0.9861932972012061,0.9716315482620242,26,117,1.2190752948221385e-06
2,12,0.48753400685939385,0.9861932972012061,0.9716315482620242,25,119,4.00091388916497e-07
