fold,epoch,loss,f1_clean,f1_corrupt,train_s,imgs_per_s,lr_top
1,1,1.337429311364255,0.9627801362215208,0.9484963254589465,25,118,4e-05
1,2,0.5569726818419517,0.968111672797835,0.9609144513855268,26,117,3.921482167590975e-05
1,3,0.5308030214398465,0.9704956157166456,0.956911617076374,25,118,3.6889266974052585e-05
1,4,0.5115168776283873,0.9760283223825097,0.9679756152972855,25,118,3.321164711685013e-05
1,5,0.4989776901425199,0.9768545989827749,0.9668266408387056,25,118,2.8479900993485484e-05
1,6,0.5018782171797245,0.9753272597577561,0.9619770690395913,25,118,2.3077366534095904e-05
1,7,0.4945174663307819,0.9803664753317347,0.9675281875682279,25,118,1.7441724950471555e-05
1,8,0.48442734904745793,0.9820073912477663,0.9706796117994442,25,118,1.2029542407266648e-05
1,9,0.4786197684229688,0.9788957959809633,0.9702470565866737,25,119,7.279281746642699e-06
1,10,0.48722971785575786,0.9813624125448095,0.97167848530849,26,117,3.57578083643554e-06
1,11,0.48244465459534464,0.9831731834110722,0.9731009282213334,25,119,1.2190752948221385e-06
1,12,0.48279450247262384,0.9831731834110722,0.9731009282213334,25,119,4.00091388916497e-07
