image_id,label,fold,prob_jawa,prob_jawi,prob_pegon,specialist_pred
SxrIaKaJ.png,pegon,5,0.017073678,0.014546957,0.96837944,pegon
XiR75p4l.png,jawi,4,0.016906751,0.9711629,0.011930286,jawi
gpadO4eH.png,jawa,5,0.9728957,0.010640333,0.016463986,jawa
IlL62jcp.png,lampung,5,0.032679837,0.012741493,0.95457864,pegon
7bEtcJPy.png,bali,5,0.15280513,0.8349782,0.012216607,jawi
zyxCuI7G.png,lampung,2,0.026098518,0.41752297,0.55637854,pegon
73aL1wGC.png,sunda,1,0.05657652,0.9368084,0.006615093,jawi
njrveC8J.png,sunda,3,0.021856716,0.93209803,0.046045292,jawi
ZTYUCABk.png,pegon,2,0.022976968,0.016103292,0.9609197,pegon
B0Duulnc.png,jawa,2,0.9656542,0.01786014,0.0164857,jawa
GwNhxVOc.png,jawa,2,0.9727471,0.016509768,0.010743111,jawa
Dogl3mic.png,lampung,5,0.06364194,0.2731939,0.6631642,pegon
LQBCi9os.png,jawi,4,0.030582111,0.884191,0.08522694,jawi
bEJQ1vj1.png,jawa,2,0.981587,0.012308184,0.0061049047,jawa
zWNJN8BZ.png,sunda,5,0.10866644,0.8694605,0.021873059,jawi
7qXUDvRu.png,pegon,5,0.030531354,0.012683935,0.9567847,pegon
0niSeWQG.png,jawa,3,0.95283145,0.02480389,0.022364724,jawa
Bv36DzSJ.png,sunda,3,0.67406154,0.2909739,0.034964632,jawa
Pt87iRur.png,lontara,5,0.9419643,0.05342819,0.00460736,jawa
2jUUlbAF.png,jawa,4,0.96110874,0.009740482,0.029150791,jawa
x6dPrUoK.png,sunda,2,0.03893675,0.96018255,0.0008807186,jawi
GShkyfIf.png,lampung,2,0.91246694,0.05290488,0.03462817,jawa
K76t73M1.png,jawi,4,0.018240755,0.9577588,0.02400045,jawi
5g7dkMFx.png,bali,1,0.025784323,0.95861477,0.015600847,jawi
c8MHEGEv.png,lampung,3,0.7863777,0.11557928,0.09804298,jawa
y4gs4UZ5.png,lampung,4,0.18306176,0.79654413,0.020394059,jawi
qj68JNG7.png,sunda,5,0.55362034,0.41769055,0.028689126,jawa
5JyYVH9C.png,lontara,1,0.75273824,0.22557199,0.02168981,jawa
gaQknjRR.png,lampung,1,0.031525526,0.30552688,0.66294765,pegon
YG6mY32I.png,pegon,3,0.021184385,0.015243646,0.96357197,pegon
d33bEEyb.png,lontara,4,0.8358209,0.14852272,0.01565633,jawa
YSPUPyxu.png,lontara,2,0.51048505,0.46662113,0.022893872,jawa
JXbPYBgS.png,jawa,4,0.9434284,0.028796755,0.02777482,jawa
Te34cUKB.png,lampung,2,0.9035869,0.08772605,0.008687116,jawa
LgnxrKxM.png,jawi,3,0.009186639,0.9858768,0.0049364995,jawi
YwwlmsRm.png,lampung,2,0.38472286,0.5327023,0.08257484,jawi
gGGmjyOB.png,lontara,3,0.914719,0.07446403,0.010816977,jawa
