fold,epoch,train_loss,valid_trio_macro_f1,valid_trio_accuracy,backbone_lr,head_lr
5,1,0.659013211976743,0.9149266319719952,0.912751677852349,0.0002,0.0008
5,2,0.30094840688322055,0.9610905380617522,0.959731543624161,0.00019870432382325864,0.0007948172952930346
5,3,0.24677785272574304,0.9470867415628641,0.9463087248322147,0.00019485263796156029,0.0007794105518462411
5,4,0.21275427739491082,0.9698703394225783,0.9686800894854586,0.00018855000636461646,0.0007542000254584659
5,5,0.1967744384146083,0.9684823700621776,0.9686800894854586,0.0001799683483926574,0.0007198733935706296
5,6,0.19091005889581342,0.9693564191230427,0.9686800894854586,0.0001693417493044454,0.0006773669972177817
5,7,0.186065996129176,0.9716537320096649,0.970917225950783,0.0001569600750216306,0.0006278403000865224
5,8,0.18992322778182613,0.9738467144658052,0.9731543624161074,0.00014316106534203213,0.0005726442613681285
5,9,0.17939303619844296,0.9740469308502749,0.9731543624161074,0.00012832112127837594,0.0005132844851135038
5,10,0.17626569104354387,0.9693994965009716,0.9686800894854586,0.00011284503781987159,0.00045138015127948637
5,11,0.175446428778716,0.9763058015418135,0.9753914988814317,9.715496218012844e-05,0.0003886198487205138
5,12,0.17613515650540473,0.9693608839188986,0.9686800894854586,8.167887872162408e-05,0.00032671551488649633
5,13,0.175713395461698,0.969276362094198,0.9686800894854586,6.683893465796792e-05,0.0002673557386318717
5,14,0.17538131604575366,0.9714621544439247,0.970917225950783,5.303992497836946e-05,0.00021215969991347783
5,15,0.17551769048291702,0.9711419503647089,0.970917225950783,4.065825069555462e-05,0.0001626330027822185
5,16,0.17310297143885306,0.9737384443266796,0.9731543624161074,3.0031651607342625e-05,0.0001201266064293705
