image_id,label,fold
SxrIaKaJ.png,pegon,5
XiR75p4l.png,jawi,4
gpadO4eH.png,jawa,5
IlL62jcp.png,lampung,5
7bEtcJPy.png,bali,5
zyxCuI7G.png,lampung,2
73aL1wGC.png,sunda,1
njrveC8J.png,sunda,3
ZTYUCABk.png,pegon,2
B0Duulnc.png,jawa,2
GwNhxVOc.png,jawa,2
Dogl3mic.png,lampung,5
LQBCi9os.png,jawi,4
bEJQ1vj1.png,jawa,2
zWNJN8BZ.png,sunda,5
7qXUDvRu.png,pegon,5
0niSeWQG.png,jawa,3
Bv36DzSJ.png,sunda,3
Pt87iRur.png,lontara,5
2jUUlbAF.png,jawa,4
x6dPrUoK.png,sunda,2
GShkyfIf.png,lampung,2
K76t73M1.png,jawi,4
5g7dkMFx.png,bali,1
c8MHEGEv.png,lampung,3
y4gs4UZ5.png,lampung,4
qj68JNG7.png,sunda,5
5JyYVH9C.png,lontara,1
gaQknjRR.png,lampung,1
YG6mY32I.png,pegon,3
d33bEEyb.png,lontara,4
YSPUPyxu.png,lontara,2
JXbPYBgS.png,jawa,4
Te34cUKB.png,lampung,2
LgnxrKxM.png,jawi,3
YwwlmsRm.png,lampung,2
gGGmjyOB.png,lontara,3
5xAtC0hx.png,jawa,1
4SJp0T35.png,jawa,1
E9oR7qpJ.png,jawi,1
3NtrDb4P.png,lampung,4
xakFyYvc.png,lampung,4
bnUv4te9.png,jawa,4
VkgRO7Nc.png,bali,4
kp0AJeXF.png,pegon,5
DXfvXCFf.png,bali,1
vJw1Bk6z.png,sunda,4
edDms7eQ.png,jawa,3
iVGrPm07.png,sunda,3
nxLqyARW.png,bali,5
F5cfJph7.png,jawi,1
pZuH1skD.png,pegon,2
Cgm7SMtt.png,jawa,5
YKYBiiRR.png,pegon,1
EDYBqgFS.png,jawa,4
sFQaU09D.png,jawi,4
1G6OvvEA.png,jawi,3
oXoum2iu.png,pegon,4
Ktw3nK3E.png,jawa,3
gzDH2vzH.png,jawa,5
TfawUQgB.png,jawi,5
61T38aM1.png,jawi,3
QC0Juvo8.png,lontara,4
KBj8Ia86.png,lampung,2
iOeFPAaw.png,jawa,3
LPhcTws7.png,jawi,3
TlE7Oxcz.png,lampung,3
FftkHw5y.png,bali,3
osf2Mk0K.png,sunda,2
GdCzS3Xb.png,lampung,2
N0kQdiGM.png,sunda,2
HDd0asDS.png,pegon,4
DiSSswzG.png,lampung,1
EnUYrMAf.png,jawa,5
yCLeeeXi.png,lontara,2
INmr5mlx.png,lampung,4
8AWCnrwa.png,bali,4
RLhRSMeM.png,lampung,3
eE4nS09i.png,pegon,1
5WE6mxHG.png,lontara,1
L87IVQo4.png,pegon,4
U1wjyN6y.png,lontara,1
0kwvlpcB.png,lampung,2
8xxhJ6Bb.png,pegon,2
8cciWNje.png,lampung,1
aWWTw2IR.png,sunda,4
1cWpD1aB.png,bali,2
S09TwP8c.png,jawi,5
KkRvOky1.png,pegon,2
wekTNCpg.png,pegon,2
tsP71GTP.png,sunda,3
W1qhORHJ.png,jawi,2
J6jjni5b.png,lontara,5
ITsTKOTj.png,jawa,1
KN4s05tz.png,pegon,5
6tit6KOv.png,lampung,1
DEBi3a48.png,sunda,3
gbUSSBpy.png,pegon,2
HprvBbT3.png,lampung,2
SZ9LQmqY.png,pegon,4
WH6Y1uB1.png,sunda,3
7HtLdgFd.png,jawi,2
59cAfNnA.png,jawi,1
5WQwwlMO.png,pegon,5
CIoNmM7x.png,lampung,3
BlcAafpz.png,sunda,1
riJDxPPG.png,lampung,4
4YUB17q1.png,jawa,4
7o7qZ7OC.png,bali,3
PbY9aaYp.png,lampung,1
J6iWmO5R.png,pegon,3
Oc72U6LQ.png,sunda,5
lJkj3cWg.png,bali,1
Yi4RimP2.png,pegon,3
Hlt8sodC.png,lampung,3
s6wIepRp.png,jawi,3
tsaSxb3J.png,lampung,5
xAdVGp9T.png,jawa,5
gBVaO0hj.png,sunda,2
bSpPzLTC.png,pegon,4
2nKDXWhA.png,jawi,3
W2b5suqM.png,lampung,4
JXYASCj0.png,lampung,3
FbBVItl4.png,bali,3
fMmXzde8.png,lampung,2
od1Ktiiz.png,lampung,2
L1tEO03V.png,pegon,5
gZtwPFlK.png,pegon,1
kIMUDa5Y.png,sunda,4
dmoAMEXd.png,jawi,3
RKhiIoay.png,sunda,3
QhW3ixlM.png,pegon,2
wCgWMyz9.png,jawi,1
cXMWJr78.png,pegon,4
hKXz7ACw.png,jawi,1
2xw7Dhvb.png,lampung,4
FmfD2nwE.png,pegon,2
C7yrIZIh.png,lontara,4
