fold,epoch,train_loss,valid_macro_f1,valid_accuracy,backbone_lr,head_lr
1,1,1.2551410032059345,0.8842282776084479,0.8803131991051454,0.0002,0.0008
1,2,0.4173840683213209,0.9645974280162124,0.9608501118568232,0.00019870432382325864,0.0007948172952930346
1,3,0.33359997353565785,0.9764908995847302,0.9731543624161074,0.00019485263796156029,0.0007794105518462411
1,4,0.3020409828736406,0.9797768082608812,0.9776286353467561,0.00018855000636461646,0.0007542000254584659
1,5,0.30070928500674865,0.9781840303988231,0.9753914988814317,0.0001799683483926574,0.0007198733935706296
1,6,0.28155598221224226,0.9850347480179933,0.9832214765100671,0.0001693417493044454,0.0006773669972177817
1,7,0.27348847173022983,0.9849772439927599,0.9832214765100671,0.0001569600750216306,0.0006278403000865224
1,8,0.2677683173992905,0.9869680860087484,0.9854586129753915,0.00014316106534203213,0.0005726442613681285
1,9,0.2698978761848601,0.9834187330797243,0.9832214765100671,0.00012832112127837594,0.0005132844851135038
1,10,0.2656869341804639,0.9851420246822045,0.9832214765100671,0.00011284503781987159,0.00045138015127948637
1,11,0.26620282287394803,0.987756439929407,0.9865771812080537,9.715496218012844e-05,0.0003886198487205138
1,12,0.2630452635056026,0.9852446258517592,0.9832214765100671,8.167887872162408e-05,0.00032671551488649633
1,13,0.26220677816797766,0.9849991335338414,0.9832214765100671,6.683893465796792e-05,0.0002673557386318717
1,14,0.26259427396916823,0.9856087529717106,0.9843400447427293,5.303992497836946e-05,0.00021215969991347783
1,15,0.2628359812549807,0.9861690114835829,0.9854586129753915,4.065825069555462e-05,0.0001626330027822185
1,16,0.26081477814183796,0.9858640442874417,0.9843400447427293,3.0031651607342625e-05,0.0001201266064293705
