image_id,ctype,silver,sim,margin,twin,v1,v2,v3
qA1ZrD98.png,line,lampung,0.861624,0.29588044,xRVYH2Wt.png,lampung,lampung,lampung
G4lDbpor.png,line,jawi,0.9374988,0.4056428,pXiAetoy.png,jawi,jawi,jawi
vDh3sqrP.png,line,sunda,0.8732388,0.20673037,1u2I4e7K.png,sunda,sunda,sunda
inXsqhEY.png,block,sunda,0.90122163,0.15255082,S2FxkwQy.png,sunda,sunda,sunda
FsRveb1q.png,block,pegon,0.9277303,0.26196158,QFDYs1zj.png,pegon,pegon,pegon
lYmPrQa7.png,block,pegon,0.92959046,0.1933825,F2izSnYq.png,pegon,pegon,pegon
7WFSRZdK.png,line,sunda,0.93420684,0.43343014,7i8PG9Ub.png,sunda,sunda,sunda
SkISLMsf.png,line,sunda,0.8907943,0.2212382,KqoNgEEr.png,sunda,sunda,sunda
1ZVk0eST.png,line,lampung,0.87887275,0.20815158,YG6yAvc0.png,lampung,lampung,lampung
OZQEsgPy.png,line,lampung,0.8563286,0.121266484,rbX8udzi.png,lampung,lampung,lampung
AvWpUyyu.png,block,pegon,0.8917122,0.12566853,yKdVboEu.png,pegon,pegon,pegon
C6hR7VXO.png,line,lontara,0.90709305,0.3191923,xkUMcjKo.png,lontara,lontara,lontara
LvoCIxWk.png,line,sunda,0.9012292,0.3289404,8cEuXyGr.png,sunda,sunda,sunda
G53WDmJS.png,line,jawa,0.89376414,0.35663068,tl3IX4js.png,jawa,jawa,jawa
emcWShUR.png,line,jawa,0.870399,0.34184968,1rPuWUQc.png,jawa,jawa,jawa
24T5SZRZ.png,line,jawa,0.9168176,0.1804269,3SpdonBg.png,jawa,jawa,jawa
P8cAscCZ.png,block,lampung,0.87489116,0.12682283,gWgjb1jF.png,lampung,lampung,lampung
RQ3dXMka.png,block,sunda,0.92647994,0.2573948,cSRKI1Eo.png,sunda,sunda,sunda
RCAhhZd5.png,line,lontara,0.9126348,0.20750082,FPuPjmRC.png,lontara,lontara,lontara
UNtkdcp9.png,line,jawi,0.937348,0.10101104,vt3NspUc.png,jawi,jawi,jawi
31eEtdGH.png,line,jawa,0.8627569,0.31872565,2iSupLdX.png,jawa,jawa,jawa
ujjDXtsH.png,block,pegon,0.94365346,0.21196991,WswN2D8a.png,pegon,pegon,pegon
mgq2eH5y.png,line,jawi,0.9216198,0.19981551,P64Ivxum.png,jawi,jawi,jawi
dNOv6cil.png,line,sunda,0.8962624,0.26501715,6Jj7eo3O.png,sunda,sunda,sunda
pkr1vakn.png,line,lampung,0.9083592,0.27373642,O9SD6pqN.png,lampung,lampung,lampung
IFsvMMMZ.png,line,jawa,0.8980522,0.13857925,rDtYHUS6.png,jawa,jawa,jawa
ZkaIdXph.png,block,pegon,0.85080063,0.12449241,6xN5Fd2w.png,pegon,pegon,pegon
ucJ8RJ0x.png,block,pegon,0.8730165,0.2353844,IDpHW9DT.png,pegon,pegon,pegon
Urll2kV8.png,block,pegon,0.88117266,0.19036794,3mcFdk7G.png,pegon,pegon,pegon
AJtfjse4.png,line,jawa,0.8790185,0.14342922,wZBZmXVo.png,jawa,jawa,jawa
iApRoWXi.png,line,jawa,0.9296106,0.40321916,VlGmgACZ.png,jawa,jawa,jawa
hzmyHjwd.png,line,jawa,0.91046375,0.32691884,UdhDfaAy.png,jawa,jawa,jawa
yH8kDyOL.png,line,lampung,0.9093696,0.3245529,qZL4Jq7a.png,lampung,lampung,lampung
DzyTnG3l.png,line,lampung,0.88839483,0.11948383,PzgGMHjn.png,lampung,lampung,lampung
fL2JmXEd.png,block,sunda,0.89846635,0.14440954,Xgu6c7a8.png,sunda,sunda,sunda
5IMxeqAJ.png,line,jawa,0.8907398,0.48229623,BOgaZX5p.png,jawa,jawa,jawa
wEqxO932.png,line,lampung,0.9081057,0.2542681,37GylGd0.png,lampung,lampung,lampung
lWYdBjrk.png,line,sunda,0.86655223,0.11893749,1rFY5ymX.png,sunda,sunda,sunda
9zGlcdIa.png,line,lampung,0.9026873,0.26631224,OOt4JATx.png,lampung,lampung,lampung
7ckJIDU4.png,block,pegon,0.89307785,0.18572617,3YQhv7gK.png,pegon,pegon,pegon
01eMwHuH.png,line,jawi,0.961859,0.12372458,8ua1wfDX.png,jawi,jawi,jawi
BpemwSh9.png,block,pegon,0.90862644,0.21674156,LBlGLJh4.png,pegon,pegon,pegon
VEr26nUc.png,line,jawi,0.8876556,0.26876938,rJZQjxc0.png,jawi,jawi,jawi
