tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s2026_f4,1,1.3348959178683606,23,130,0.9409319647016382,0.9374268789175255
cv_s2026_f4,2,0.5660907461288127,23,130,0.9649046047095398,0.9570901316876359
cv_s2026_f4,3,0.5228080987296206,23,129,0.9722671388975073,0.9611217733904172
cv_s2026_f4,4,0.5081439160920204,23,130,0.9693376511187951,0.9623825559597415
cv_s2026_f4,5,0.5013656538534672,23,128,0.9699396152021651,0.9634228542193625
cv_s2026_f4,6,0.4933634860084412,23,130,0.9746382470600322,0.9667604662118473
cv_s2026_f4,7,0.489687590522969,23,130,0.9795737930586454,0.9715686163923583
cv_s2026_f4,8,0.4917103581606074,23,130,0.9803731525127442,0.9713313960905703
cv_s2026_f4,9,0.48840711741371357,23,129,0.9841487237534994,0.9703624922778539
cv_s2026_f4,10,0.48769412284835856,23,129,0.983896867490221,0.9705496272713274
cv_s2026_f4,11,0.48663798053847984,23,128,0.9829159519706849,0.9711180175529365
