tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s2026_f0,1,1.3540915131885956,23,131,0.9639617047251429,0.9540675787572322
cv_s2026_f0,2,0.5573327796573334,23,131,0.9755878601355559,0.9674650973435944
cv_s2026_f0,3,0.5213131134180312,23,130,0.9823223862559318,0.9746882595549449
cv_s2026_f0,4,0.5221685015774787,23,129,0.9828743695700897,0.9717613176865411
cv_s2026_f0,5,0.4985424089939036,23,130,0.9811110903269985,0.9665978877465544
cv_s2026_f0,6,0.4997167577768894,23,130,0.9832271945804922,0.9761768099883643
cv_s2026_f0,7,0.4990759366687308,23,130,0.9857156057648145,0.9737053837710867
cv_s2026_f0,8,0.48665731844115767,23,129,0.9839131857340175,0.9768825262685178
cv_s2026_f0,9,0.47984369860050524,24,127,0.9873003597935328,0.9804629679234064
cv_s2026_f0,10,0.4887009253527256,23,130,0.983537912917137,0.9783001758723111
cv_s2026_f0,11,0.484765499196154,23,129,0.9856157866721685,0.9799945134819631
cv_s2026_f0,12,0.48836459837695384,23,129,0.9856157866721685,0.9799945134819631
