tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s7_f3,1,1.3339042888676866,23,130,0.9395598974403934,0.9310290169757552
cv_s7_f3,2,0.5511222350153517,23,130,0.9721101320237222,0.9605474597491999
cv_s7_f3,3,0.5254553512055823,23,129,0.9702343326646574,0.958811911744008
cv_s7_f3,4,0.5112087003728176,23,130,0.9801689703222711,0.968620345985857
cv_s7_f3,5,0.5085362809452605,23,130,0.9818735360663823,0.9645298940216943
cv_s7_f3,6,0.48997608873438325,23,130,0.9815625941822541,0.9690363461195551
cv_s7_f3,7,0.4870061920361316,23,130,0.9807542192538048,0.9637873519891114
cv_s7_f3,8,0.4931147965662023,23,130,0.9807014430772647,0.9700179265997809
cv_s7_f3,9,0.4879771612109022,23,129,0.9807542192538048,0.9656458026029194
cv_s7_f3,10,0.48503750309031063,23,128,0.9823006025736866,0.9652851909586074
cv_s7_f3,11,0.4880746078300983,23,129,0.9823006025736866,0.966802504062484
cv_s7_f3,12,0.49723396212496657,23,131,0.9823006025736866,0.966802504062484
