tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s2026_f3,1,1.3436665750564414,23,128,0.9591793208512467,0.9459979105268099
cv_s2026_f3,2,0.5676096368660318,23,129,0.9676114456252526,0.9599244445008154
cv_s2026_f3,3,0.5223809487008034,23,128,0.9736158509385638,0.9665204238328527
cv_s2026_f3,4,0.51051673467489,23,131,0.9766951131797253,0.9641394584278619
cv_s2026_f3,5,0.5016077679205448,23,129,0.9771084102730453,0.9652126050932851
cv_s2026_f3,6,0.49387817909108833,23,130,0.9788938266237912,0.9672068653996103
cv_s2026_f3,7,0.498365637628322,23,130,0.9735389565367377,0.9671755280164733
cv_s2026_f3,8,0.4909384623169899,23,129,0.9800757926880853,0.9653289714984504
cv_s2026_f3,9,0.48079609427046266,24,127,0.9795094225332628,0.9649847354522543
cv_s2026_f3,10,0.49455998489197267,23,129,0.9796196784106513,0.9700791644614674
cv_s2026_f3,11,0.48815091810327893,23,131,0.9812400530174111,0.9661591511226842
cv_s2026_f3,12,0.5078572811598473,23,130,0.9826662070917463,0.966499235994668
