i,j,emb,pix,kind,same_label
0,887,0.9121881723403931,0.3528673052787781,train-train,True
0,3443,0.9036394953727722,0.41931086778640747,train-train,True
0,512,0.9010641574859619,0.2739337682723999,train-train,True
0,1234,0.8896624445915222,0.31263822317123413,train-train,True
0,952,0.888532280921936,0.34099408984184265,train-train,True
0,2794,0.8841196298599243,0.37385353446006775,train-train,True
0,228,0.8802093267440796,0.25742077827453613,train-train,True
0,3737,0.8794772028923035,0.31971514225006104,train-train,True
0,3547,0.8780249953269958,0.27349504828453064,train-train,True
0,3097,0.8775155544281006,0.2545837461948395,train-train,True
1,1399,0.9079574346542358,0.2801039516925812,train-train,True
1,3650,0.8860337138175964,0.3347534239292145,train-train,True
1,586,0.8760543465614319,0.2858884930610657,train-train,True
1,3215,0.8721281290054321,0.3197968304157257,train-train,True
1,4100,0.8714842796325684,0.28639429807662964,train-test,
1,342,0.8707801103591919,0.30568042397499084,train-train,True
1,979,0.8690893650054932,0.3097929358482361,train-train,True
1,1157,0.8663409948348999,0.30588507652282715,train-train,True
1,2456,0.8644465208053589,0.3393372595310211,train-train,True
2,227,0.9109386205673218,0.20038726925849915,train-train,True
2,925,0.8943438529968262,0.14975573122501373,train-train,True
2,4237,0.8876556158065796,0.24602018296718597,train-test,
2,4816,0.8765407800674438,0.18274767696857452,train-test,
2,3293,0.8743239641189575,0.2113305777311325,train-train,True
2,805,0.8707556128501892,0.20510907471179962,train-train,True
2,4607,0.8675565719604492,0.16618728637695312,train-test,
2,1320,0.8621824979782104,0.2620660364627838,train-train,True
3,843,0.9235885143280029,0.4727988541126251,train-train,True
3,1110,0.8943977355957031,0.48969221115112305,train-train,True
3,1121,0.8827131986618042,0.15601705014705658,train-train,True
3,2379,0.8810144662857056,0.2582690715789795,train-train,True
3,2935,0.8775349855422974,0.16792212426662445,train-train,True
3,1435,0.8766939640045166,0.2238897681236267,train-train,True
3,2266,0.8731105327606201,0.6253149509429932,train-train,True
3,345,0.8610692024230957,0.2766362130641937,train-train,True
3,1248,0.860694169998169,0.14305679500102997,train-train,True
4,1335,0.9466749429702759,0.1955297440290451,train-train,True
4,2643,0.9310522079467773,0.21025018393993378,train-train,True
4,806,0.9281903505325317,0.32664161920547485,train-train,True
4,1895,0.9220177531242371,0.14645515382289886,train-train,True
4,981,0.9214028716087341,0.2148120403289795,train-train,True
4,1279,0.9129003882408142,0.1661543995141983,train-train,True
4,3176,0.9106192588806152,0.2130136787891388,train-train,True
4,3454,0.9079910516738892,0.16910316050052643,train-train,True
4,582,0.9045424461364746,0.2073693424463272,train-train,True
4,1551,0.8990046977996826,0.25358861684799194,train-train,True
5,2133,0.9236415028572083,0.36298710107803345,train-train,True
5,2020,0.9181583523750305,0.3248274028301239,train-train,True
5,469,0.9092693328857422,0.3278057873249054,train-train,True
5,1418,0.9091628789901733,0.2548147439956665,train-train,True
5,1667,0.9065371751785278,0.28651735186576843,train-train,True
5,700,0.9065056443214417,0.3928118944168091,train-train,True
5,3357,0.9047107696533203,0.3734950125217438,train-train,True
5,719,0.904023289680481,0.2892940044403076,train-train,True
5,1395,0.9032050371170044,0.2551502287387848,train-train,True
5,2999,0.9030132293701172,0.36572393774986267,train-train,True
6,2262,0.9499172568321228,0.20764994621276855,train-train,True
6,343,0.9478942155838013,0.17830753326416016,train-train,True
6,1579,0.9476312398910522,0.1558002531528473,train-train,True
6,3567,0.947550892829895,0.18317751586437225,train-train,True
6,2997,0.9459022283554077,0.16959615051746368,train-train,True
6,943,0.9455372095108032,0.17503318190574646,train-train,True
6,2592,0.9444155693054199,0.21290969848632812,train-train,True
6,2754,0.9441918730735779,0.15906310081481934,train-train,True
6,2861,0.9423646926879883,0.1548556536436081,train-train,True
6,1331,0.9404080510139465,0.20628388226032257,train-train,True
7,684,0.8122502565383911,0.24060578644275665,train-train,True
7,76,0.772545576095581,0.08383283764123917,train-train,True
7,2394,0.7325166463851929,0.06746994704008102,train-train,True
7,2188,0.7110240459442139,0.07201526314020157,train-train,True
7,1119,0.7025332450866699,0.1716383695602417,train-train,True
7,2073,0.6975677609443665,0.08729992806911469,train-train,True
7,3459,0.6970428228378296,0.10292204469442368,train-train,True
7,596,0.6850805282592773,0.08827098459005356,train-train,True
7,2674,0.6754990816116333,0.1060216873884201,train-train,True
8,1011,0.8911920189857483,0.2348179817199707,train-train,True
8,1702,0.8808424472808838,0.21611636877059937,train-train,True
8,927,0.880718469619751,0.2869572043418884,train-train,True
8,1214,0.8784818649291992,0.24037350714206696,train-train,True
8,1725,0.8775783777236938,0.3272908329963684,train-train,True
8,536,0.8674989938735962,0.2993452250957489,train-train,True
8,3623,0.8669854402542114,0.27385640144348145,train-train,True
8,296,0.8653659224510193,0.27916330099105835,train-train,True
8,2970,0.8627517223358154,0.3316415250301361,train-train,True
8,1373,0.8609129190444946,0.20609456300735474,train-train,True
9,247,0.7410964965820312,0.0613817535340786,train-train,True
9,639,0.7281563878059387,0.20428147912025452,train-train,True
9,921,0.7205469608306885,0.0909179225564003,train-train,True
10,1487,0.7504883408546448,0.15257006883621216,train-train,True
10,3203,0.7466174364089966,0.21228407323360443,train-train,True
10,1380,0.7461557984352112,0.15905287861824036,train-train,True
10,3670,0.7438445091247559,0.10055682808160782,train-train,True
10,2159,0.7435370087623596,0.13869042694568634,train-train,True
10,640,0.7433227300643921,0.10828521847724915,train-train,True
11,2624,0.9072848558425903,0.3927763104438782,train-train,True
11,519,0.8698816299438477,0.3229250907897949,train-train,True
11,1963,0.8554423451423645,0.29280298948287964,train-train,True
11,2510,0.8496488332748413,0.48810601234436035,train-train,True
11,1022,0.8383280038833618,0.2684110403060913,train-train,True
11,1519,0.8316100239753723,0.3199270963668823,train-train,True
11,2933,0.8067636489868164,0.36645814776420593,train-train,True
11,3640,0.7945652008056641,0.3876835107803345,train-train,True
11,3133,0.7859053611755371,0.4303971230983734,train-train,True
12,2662,0.9145386219024658,0.2863474488258362,train-train,True
12,319,0.901607871055603,0.23680731654167175,train-train,True
12,525,0.8932303190231323,0.2588306665420532,train-train,True
12,3547,0.8902003765106201,0.25295644998550415,train-train,True
12,2109,0.885706901550293,0.2590368688106537,train-train,True
12,3572,0.8803539276123047,0.40910428762435913,train-train,True
12,2653,0.8800965547561646,0.25561845302581787,train-train,True
12,2412,0.8779231309890747,0.2301652729511261,train-train,True
12,3737,0.8725340366363525,0.22176505625247955,train-train,True
12,512,0.871188223361969,0.2269565314054489,train-train,True
13,1053,0.95006263256073,0.22399258613586426,train-train,True
13,2590,0.948391854763031,0.23297396302223206,train-train,True
13,3577,0.9441288709640503,0.29448041319847107,train-train,True
13,3096,0.9377620220184326,0.22032026946544647,train-train,True
13,1464,0.9359866380691528,0.2854524850845337,train-train,True
13,679,0.9359643459320068,0.2548386752605438,train-train,True
13,2858,0.9354714155197144,0.23059764504432678,train-train,True
13,695,0.9309641122817993,0.23507587611675262,train-train,True
13,3234,0.9306923747062683,0.2792881429195404,train-train,True
13,1776,0.9284417629241943,0.22706592082977295,train-train,True
14,1597,0.935479998588562,0.19896841049194336,train-train,True
14,3058,0.9240877628326416,0.2053893655538559,train-train,True
14,898,0.923221230506897,0.18693815171718597,train-train,True
14,62,0.9220016002655029,0.07723566144704819,train-train,True
14,1305,0.9176329374313354,0.16415522992610931,train-train,True
14,3745,0.9162131547927856,0.18322697281837463,train-train,True
14,200,0.9142316579818726,0.2160630077123642,train-train,True
14,2386,0.9124622344970703,0.15700671076774597,train-train,True
14,84,0.9091764092445374,0.1704968810081482,train-train,True
14,508,0.908793568611145,0.14328567683696747,train-train,True
15,1416,0.8499149680137634,0.09207682311534882,train-train,False
15,2048,0.8274081945419312,0.13870768249034882,train-train,True
15,2401,0.820946991443634,0.11424115300178528,train-train,True
15,2702,0.8168181777000427,0.14295990765094757,train-train,False
15,2858,0.8099839091300964,0.1006314679980278,train-train,False
16,1468,0.898635745048523,0.2786477506160736,train-train,True
16,2046,0.8762504458427429,0.2113182246685028,train-train,True
16,86,0.8685394525527954,0.21175463497638702,train-train,True
16,2087,0.8678121566772461,0.1378902792930603,train-train,True
16,2748,0.865548849105835,0.24732349812984467,train-train,True
16,1665,0.8635445833206177,0.34290942549705505,train-train,True
16,4365,0.8601417541503906,0.3059316873550415,train-test,
16,1948,0.8600591421127319,0.2193460613489151,train-train,True
16,3711,0.8567439317703247,0.19841799139976501,train-train,True
16,2417,0.8557393550872803,0.10730718821287155,train-train,True
17,1003,0.9205400943756104,0.3765632212162018,train-train,True
17,1930,0.9105237126350403,0.3760385513305664,train-train,True
17,2771,0.9043173789978027,0.405877023935318,train-train,True
17,3634,0.8910403251647949,0.39498206973075867,train-train,True
17,2232,0.8872979879379272,0.35209375619888306,train-train,True
17,2406,0.8807051181793213,0.3095114231109619,train-train,False
17,3514,0.8797222971916199,0.40879344940185547,train-train,True
18,163,0.900216817855835,0.32931551337242126,train-train,True
18,2111,0.8860809803009033,0.30264750123023987,train-train,True
18,3097,0.8738232851028442,0.31204599142074585,train-train,True
18,2565,0.8732348680496216,0.322443425655365,train-train,True
18,2525,0.8664060831069946,0.3277489244937897,train-train,True
18,2794,0.8657482266426086,0.33531156182289124,train-train,True
18,1349,0.852279007434845,0.35947370529174805,train-train,True
18,887,0.8501283526420593,0.3371090590953827,train-train,True
18,637,0.8464940786361694,0.3139740228652954,train-train,True
19,4977,0.9389816522598267,0.609061598777771,train-test,
19,3482,0.9149491190910339,0.272793710231781,train-train,True
19,295,0.9010730981826782,0.1663975864648819,train-train,True
19,1634,0.8985867500305176,0.3303983509540558,train-train,True
19,533,0.8959950804710388,0.34568527340888977,train-train,True
19,828,0.8941913843154907,0.12753203511238098,train-train,True
19,1227,0.8940272927284241,0.10827222466468811,train-train,True
19,4108,0.8932563066482544,0.1340518742799759,train-test,
19,385,0.8920924067497253,0.3054233491420746,train-train,True
19,3086,0.8912729620933533,0.05178211256861687,train-train,True
20,1581,0.8672823905944824,0.1567273736000061,train-train,True
20,3541,0.855405330657959,0.11217834055423737,train-train,True
20,779,0.8439398407936096,0.01567401923239231,train-train,True
20,854,0.8435494899749756,0.12717068195343018,train-train,True
20,3145,0.8404345512390137,0.21117165684700012,train-train,True
20,268,0.8316109776496887,0.16666506230831146,train-train,True
