image_id,label,split,dup_group,dup_group_size
tHpqlCor.png,lontara,train,0,1
B494gp8Z.png,jawa,train,1,1
rJZQjxc0.png,jawi,train,2,1
hO9fOUhw.png,sunda,train,2935,7
Q4K6YjCj.png,sunda,train,4,1
PbvtXzAF.png,lontara,train,5,1
bvZgcoNn.png,jawi,train,6,1
vrNJOkCG.png,jawa,train,7,1
qzpRIEtV.png,jawa,train,8,1
305fGZ3w.png,jawi,train,9,1
oV1rqiki.png,sunda,train,10,1
efsCVAXh.png,jawi,train,11,1
SZlo4nAd.png,lontara,train,12,1
Odiwgs3f.png,jawi,train,13,1
XnmCJESw.png,pegon,train,14,1
3YX19rhG.png,pegon,train,15,1
HRCr8t7l.png,pegon,train,16,1
jYTQSpdW.png,bali,train,17,1
7E48jzhq.png,lontara,train,18,1
TVGT0l15.png,lampung,train,19,1
brPaEeqP.png,lontara,train,20,1
GmuReuLR.png,sunda,train,1041,3
GsOT0T5x.png,lampung,train,22,1
5rjyLVjM.png,sunda,train,23,1
zserujX8.jpg,bali,train,24,1
ULOLP0Ie.png,sunda,train,25,1
tzoxINik.png,jawi,train,26,1
SWmX6WTA.png,lontara,train,27,1
UmCiBs0K.png,jawi,train,28,1
qRtpcq8R.png,lampung,train,29,1
sEWlF4GG.png,jawa,train,30,1
kg4W1LjT.png,jawa,train,31,1
gEPhuYHT.png,jawi,train,32,1
VwBH4U2s.png,jawa,train,33,1
WdbxpsD0.png,lontara,train,34,1
c5qAky23.png,sunda,train,35,1
E7eISFeD.png,jawi,train,36,1
sQzD0xtD.png,bali,train,37,1
au9mLbd8.png,jawi,train,1472,2
Pr22tEu7.jpg,pegon,train,39,1
nY3i2PTt.png,bali,train,40,1
KxxJsUIA.png,bali,train,41,1
e5T265XU.png,pegon,train,42,1
92Scn6vQ.png,bali,train,43,1
feSarHT2.png,pegon,train,44,1
XDdeBeL4.png,sunda,train,45,1
R7Hd50RH.png,lampung,train,46,1
vZh1HlrP.png,pegon,train,47,1
NTvU9OQs.png,jawi,train,48,1
