image_id,label,pred,ctype
VvWr2DRJ.jpg,pegon,jawi,page
lyRKrF1d.jpg,jawi,pegon,page
hW9ckDAr.png,jawi,pegon,block
U7PXw2sv.png,jawa,bali,line
aWDmeZnl.png,pegon,jawi,line
JbnV2aI4.png,pegon,jawi,line
4DqqHcE9.png,pegon,jawi,block
WWCrZrGd.jpg,bali,jawa,page
EAumamZe.jpg,jawi,pegon,page
RS7IohRL.png,pegon,jawi,block
lUuAU6E8.jpg,jawi,pegon,page
yH2Pop2c.jpg,jawi,pegon,page
GH30tjqn.png,pegon,jawi,line
h4kTZUJy.png,pegon,jawi,line
flLeRwE5.png,pegon,jawi,line
h0LtJbi8.jpg,jawi,lampung,page
8dfolTMF.jpg,jawi,pegon,page
lGKE3TNF.png,bali,jawi,glyph
Zc20rlVi.png,jawi,pegon,line
lWqGfthg.jpg,jawi,pegon,page
NE1L1AGP.png,jawi,pegon,block
d2jkqGaU.png,jawi,pegon,block
fB1k6OYk.jpg,jawa,sunda,page
vFnuGssw.jpg,lampung,pegon,page
y3XQDMZv.jpg,sunda,jawa,page
6J2dhgt1.png,lontara,jawi,block
HUS3Q1se.png,sunda,jawi,glyph
hz0i0VAL.jpg,jawi,pegon,page
EYpmsJp4.jpg,bali,jawa,page
