image_id,label,split,fmt,mode,w,h,bytes,has_alpha,exif_orient,dpi,ratio,megapix,bpp
tHpqlCor.png,lontara,train,PNG,RGB,942,49,4190,False,1,,19.224489795918366,0.046158,0.7262013085488973
B494gp8Z.png,jawa,train,PNG,RGB,813,81,14949,False,1,,10.037037037037036,0.065853,1.8160448271149379
rJZQjxc0.png,jawi,train,PNG,RGB,440,53,3154,False,1,,8.30188679245283,0.02332,1.0819897084048027
hO9fOUhw.png,sunda,train,PNG,RGB,124,58,1034,False,1,,2.1379310344827585,0.007192,1.150166852057842
Q4K6YjCj.png,sunda,train,PNG,RGB,791,76,5295,False,1,,10.407894736842104,0.060116,0.7046377004458048
PbvtXzAF.png,lontara,train,PNG,RGB,944,54,4026,False,1,,17.48148148148148,0.050976,0.6318267419962336
bvZgcoNn.png,jawi,train,PNG,RGB,800,81,7740,False,1,,9.876543209876543,0.0648,0.9555555555555556
vrNJOkCG.png,jawa,train,PNG,RGB,968,94,5556,False,1,,10.297872340425531,0.090992,0.48848250395639176
qzpRIEtV.png,jawa,train,PNG,RGB,684,85,12751,False,1,,8.047058823529412,0.05814,1.7545235638114896
305fGZ3w.png,jawi,train,PNG,RGB,189,71,1592,False,1,,2.6619718309859155,0.013419,0.9491020195245548
oV1rqiki.png,sunda,train,PNG,RGB,328,58,2043,False,1,,5.655172413793103,0.019024,0.8591253153910849
efsCVAXh.png,jawi,train,PNG,RGB,376,62,2022,False,1,,6.064516129032258,0.023312,0.693891557995882
SZlo4nAd.png,lontara,train,PNG,RGB,940,50,3922,False,1,,18.8,0.047,0.6675744680851063
Odiwgs3f.png,jawi,train,PNG,RGB,784,76,6673,False,1,,10.31578947368421,0.059584,0.8959452201933404
XnmCJESw.png,pegon,train,PNG,RGB,181,154,3900,False,1,,1.1753246753246753,0.027874,1.1193226662839924
3YX19rhG.png,pegon,train,PNG,RGB,638,88,5703,False,1,,7.25,0.056144,0.8126246793958393
HRCr8t7l.png,pegon,train,PNG,RGB,139,108,2171,False,1,,1.287037037037037,0.015012,1.1569411137756462
jYTQSpdW.png,bali,train,PNG,RGB,1237,77,9453,False,1,,16.064935064935064,0.095249,0.7939610914550284
