image_id,ctype,B,top2,conf,agree,pair,bin,p_err_oof,p_err_conf
WEajVawh.png,glyph,sunda,jawi,0.6222818144323472,0.8,jawi / sunda,"(0.6, 0.7]",1.0,0.3777181855676528
qA1ZrD98.png,line,lampung,pegon,0.9148949943427844,1.0,lampung / pegon,"(0.9, 1.01]",0.0013131976362442547,0.08510500565721557
G4lDbpor.png,line,jawi,sunda,0.7726292564231233,1.0,jawi / sunda,"(0.7, 0.8]",0.14285714285714285,0.2273707435768767
fDI0VO86.png,line,jawi,pegon,0.8239111390269083,1.0,jawi / pegon,"(0.8, 0.9]",0.004735595895816891,0.17608886097309173
J9SshuHf.png,line,bali,jawi,0.24142232992722268,0.6,bali / jawi,"(0.0, 0.5]",0.5294117647058824,0.7585776700727773
aZwZsKoj.png,line,lampung,pegon,0.9147946623017138,1.0,lampung / pegon,"(0.9, 1.01]",0.0013131976362442547,0.0852053376982862
5sibrN1x.png,line,jawa,pegon,0.8967671460888672,1.0,jawa / pegon,"(0.8, 0.9]",0.004735595895816891,0.1032328539111328
OQTuij3P.png,block,pegon,lontara,0.9379727413725529,1.0,lontara / pegon,"(0.9, 1.01]",0.013745704467353952,0.06202725862744707
ItQogqk5.jpg,page,bali,jawa,0.9020028965282826,1.0,bali / jawa,"(0.9, 1.01]",0.07476635514018691,0.09799710347171742
ZqydnzgJ.png,page,pegon,lontara,0.9316029878665818,1.0,lontara / pegon,"(0.9, 1.01]",0.07476635514018691,0.0683970121334182
PVjGocDm.png,line,lontara,pegon,0.9248567504185898,1.0,lontara / pegon,"(0.9, 1.01]",0.0013131976362442547,0.07514324958141017
VJtZBYhT.png,line,pegon,jawi,0.8940021503806106,1.0,jawi / pegon,"(0.8, 0.9]",0.004735595895816891,0.1059978496193894
0CSBXH8E.png,block,jawa,lontara,0.9025579716611473,1.0,jawa / lontara,"(0.9, 1.01]",0.013745704467353952,0.09744202833885274
Qs5gOQRU.png,line,pegon,jawi,0.9154981549120753,1.0,jawi / pegon,"(0.9, 1.01]",0.0013131976362442547,0.08450184508792469
3pEwqbyv.png,block,bali,pegon,0.9218835191280063,1.0,bali / pegon,"(0.9, 1.01]",0.013745704467353952,0.07811648087199374
LYSJlPHg.jpg,page,lampung,pegon,0.9137190081694178,1.0,lampung / pegon,"(0.9, 1.01]",0.07476635514018691,0.08628099183058224
RuN8j9dn.png,line,lampung,pegon,0.9070965142691296,1.0,lampung / pegon,"(0.9, 1.01]",0.0013131976362442547,0.09290348573087037
